nom_latin,nom_vernaculaire,date_derniere_observation,protection_nationale,directive_oiseaux_annexe_1,lr_nationale_2016_des_oiseaux_nicheurs,lr_ra_2008,present_en_rnn,present_abords_rnn,nicheur_en_rnn,migrateur_de_passage_en_rnn,ec_do_pop_nicheuse,valeur_patrimoniale,responsabilite_rnn,priorite_de_conservation
"Coccothraustes coccothraustes (Linnaeus, 1758)",Grosbec casse-noyaux,2017,oui,non,LC,LC,oui,non,oui,non,En amélioration,Faible,Faible,3
"Merops apiaster  Linnaeus, 1758",Guêpier d'Europe,2013,oui,non,—,DDm,non,oui,non,oui,—,Faible,Faible,3
"Ardea cinerea  (Linnaeus, 1758)",Héron cendré,Historique,oui,non,—,—,non,non,non,non,—,Faible,Faible,3
"Bubo bubo  (Linnaeus, 1758)",Grand-duc d'Europe,2016,oui,oui,—,—,oui,oui,non,non,—,Moyenne,Moyenne,2
"Asio otus  (Linnaeus, 1758)",Hibou moyen-duc,2017,oui,non,LC,LC,oui,non,oui,non,Inconnues,Faible,Faible,3
"Delichon urbicum  (Linnaeus, 1758)",Hirondelle de fenêtre,2017,oui,non,—,LCm,oui,non,non,oui,—,Faible,Faible,3
"Riparia riparia  (Linnaeus, 1758)",Hirondelle de rivage,2012,oui,non,—,—,non,oui,non,oui,—,Faible,Faible,3
"Ptyonoprogne rupestris  (Scopoli, 1769)",Hirondelle de rochers,2003,oui,non,LC,LC,oui,non,oui,non,Stable,Faible,Faible,3
"Hirundo rustica  Linnaeus, 1758",Hirondelle rustique,2013,oui,non,—,LCm,non,oui,non,oui,—,Faible,Faible,3
"Upupa epops  (Linnaeus, 1758)",Huppe fasciée,2013,oui,non,—,VUm,non,oui,non,oui,—,Faible,Faible,3
"Bombycilla garrulus  (Linnaeus, 1758)",Jaseur boréal,2005,oui,non,—,"NA",oui,non,non,oui,—,Faible,Faible,3
"Carduelis cannabina  (Linnaeus, 1758)",Linotte mélodieuse,2017,oui,non,VU,LC,oui,non,oui,non,En déclin,Faible,Faible,3
"Locustella naevia  (Boddaert, 1783)",Locustelle tachetée,2000,oui,non,—,—,oui,non,non,non,—,Faible,Faile,3
"Oriolus oriolus  (Linnaeus, 1758)",Loriot d'Europe,1996,oui,non,—,LCm,oui,non,non,oui,—,Faible,Faible,3
"Alcedo atthis  (Linnaeus, 1758)",Martin pêcheur,Historique,oui,oui,—,—,non,non,non,non,—,Moyenne,Faible,3
"Tachymarptis melba  (Linnaeus, 1758)",Martinet à ventre blanc,2002,oui,non,LC,LC,oui,non,oui,oui,Stable,Faible,Faible,3
